ticket,time,author,field,oldvalue,newvalue
10,11:28:56-06:00,wcampbel,comment,1,"JRC QA breast and colorectal terminology in light of current observables direction/documentation.

WSC created cross map for OLD NE Lex to NEW NE Lex (numbering) and LOINC in folder four, mater excel worksheets."
6,11:32:32-06:00,wcampbel,comment,1,"WSC engaged.  Pathology will provide website for now.  Specs for site to be finalized this week with WSC and JRC.

1) Known spec.  Download content requires UMLS user authentication.  Scripts sent to IT for review."
11,11:37:37-06:00,wcampbel,comment,1,Discuss range of NE Lex ids for use...ongoing use for LOINC mapping.  Analyze current use and how b2i is assigning ids now.
10,11:47:50-06:00,wcampbel,comment,2,WSC to expand LOINC maps in SnowOwl.
10,11:52:25-06:00,wcampbel,type,defect,task
10,11:52:25-06:00,wcampbel,comment,3,
1,11:53:36-06:00,wcampbel,status,new,closed
1,11:53:36-06:00,wcampbel,resolution,,duplicate
1,11:53:36-06:00,wcampbel,comment,1,
2,11:54:03-06:00,wcampbel,status,new,closed
2,11:54:03-06:00,wcampbel,resolution,,duplicate
2,11:54:03-06:00,wcampbel,comment,2,
9,13:29:53-06:00,campbell,comment,4,"Jay
I think we need to build a history file of our own from Oliviers dump to supplement for future loads:
RXCUI|STR|IN|current|
351399|Prednisone 5mg oral tablet (Prednicot)(052006_112016)|8640||….
That we will process with each build to add the historical concepts.
If the concept has a current equivalent, we should create a folder for SBD/SCD/BPCK/GPCKs and add the current and historical concepts as children.

I want to eliminate ATC from the build we distribute and include all RXNORM in the ATC hierarchy that are not in the AV hierarchy.  I have attached a worksheet with those codes and their appearance in ATC.  We should build records for them linking to their ingredient and tie them into the VA hierarchy where the RXNORM for the ingredient exists.  All others should be tied to the N000029593 MISCELLANEOUS AGENTS section of the VA hierarchy so that the VA scheme will have all drugs
Jim

SQL I used to pull ATC codes not in the VA hierarchy:
with VA_RXNORMCODES(CODE) AS
(
SELECT DISTINCT C_BASECODE
FROM RXNORM_UNMC_JGP
WHERE C_BASECODE LIKE 'RXNORM:%'
AND C_FULLNAME LIKE '\JPMed\ATC\%'
),
ATC_RXNORMCODES(CODE) AS
(
SELECT DISTINCT C_BASECODE
FROM RXNORM_UNMC_JGP
WHERE C_BASECODE LIKE 'RXNORM:%'
AND C_FULLNAME LIKE '\JPMed\VA%'
),
ATCBUTNOTVA(CODE) AS
(
SELECT * FROM ATC_RXNORMCODES
MINUS
SELECT * FROM VA_RXNORMCODES
)
SELECT *
FROM ATCBUTNOTVA A
JOIN RXNORM_UNMC_JGP R ON A.CODE = R.C_BASECODE
"
6,17:18:16-06:00,wcampbel,status,new,assigned
6,17:18:16-06:00,wcampbel,comment,2,Specs development document and diagram created.  Routed to all team members.
9,11:06:37-06:00,wcampbel,comment,5,"Jay worked on metadata load procedures for SCHILS information model and RxNorm.

Agreement on modifier layer between JRC and JGP ongoing."
10,11:13:37-06:00,wcampbel,comment,4,"Full RF2 NE Lexicon and Snowowl files sent to b2i.  DB backup also included  They acknowledged receipt today.  Waiting on their estimated response time.

Jay started some outline of distribution applet.  LOINC to SCTID refset for techpreview concepts already exists.  WSC to complete LOINC to Cancer concept refset mapping this week.  WSC final mark up of CAP protocols to be published. "
6,11:20:00-06:00,wcampbel,comment,3,"UMLS linkage.  WSC still working with UNMC IT to get UMLS handshake.

PC and WSC to discuss."
11,11:21:01-06:00,wcampbel,comment,2,Jay working on this python program.  NE Lexicon safe number region identified.
3,11:24:28-06:00,wcampbel,comment,3,WSC to load Copath including value sets.  Then production.
4,11:25:45-06:00,wcampbel,comment,3,"AP/MP almost complete for observables.

JRC/WSC to meet with Julie Bridge re: FISH.  WSC to validate content with Jim Wisecarver with feedback to JRC."
10,11:52:59-06:00,wcampbel,comment,5,"Generate release notes.

1)  WSC to get marked up CAP worksheets
2)  Jay ""how to"" run python
3)  JRC - ontology and definitions employed.
4)  JRC/WSC content and scope of release"
16,11:45:04-05:00,campbell,status,new,assigned
16,11:45:04-05:00,campbell,owner,wcampbel,campbell
16,11:45:04-05:00,campbell,comment,1,
17,11:45:49-05:00,campbell,status,new,assigned
17,11:45:49-05:00,campbell,owner,wcampbel,campbell
17,11:45:49-05:00,campbell,comment,1,
14,11:50:41-05:00,wcampbel,comment,1,WSC to check use of RPS feed.
9,11:52:28-05:00,wcampbel,comment,6,Jay to review RxNORM instance with JRC.  JRC to review Jay's work and set direction/next steps
12,11:53:36-05:00,wcampbel,comment,1,WSC to get FSN to JRC by early next week.
16,11:54:47-05:00,wcampbel,comment,2,"a) assembling ref set for SCHILS deployment

b) tailoring ontology build on SNOWOWL."
13,11:55:58-05:00,wcampbel,comment,1,"WSC to get organism table, drug table, and test performables from Kathy Ubben for encoding."
4,11:58:42-05:00,wcampbel,comment,4,"JRC/WSC to review in light of RII issues

WSC to set up meeting with JRC and Julia Bridge for FISH discussion"
10,12:08:23-05:00,wcampbel,comment,6,"1)  WSC to meet with Dan Moser to validate UMLS testing and NLM handshake/redirect

2)  WSC/JRC to validate and secure all LOINC codes to be included in release.

3)  JGP to have numbering wheel codeset by end of this week.

4)  JRC draft documentation
    a) python how to
    b) WSC to complete CAP worksheet markup
    c) WSC to get legal-speak disclosure for SNOMED, LOINC and CAP 
    
5)  Publicity
    a)  RII concerns?
    b)  Dan Karlsson - can IHTSDO reference this work?
    c)  CAP to reference work.
"
17,12:10:58-05:00,wcampbel,comment,2,Slide sets due 4/3/2017.
19,12:15:25-05:00,wcampbel,comment,1,"1)  Jay to work on slides for Spring AMIA by midweek for clan review.  Trial review on Friday at at 9am meeting

2)  WSC slides for spring AMIA by 3/26

3)  Wonky wanderings to be discussed by WSC/JRC this week.
     a) Diagram work, too

4)  WSC started molecular pathology flow paper.  To review with JRC and CAP coauthors this week."
20,12:16:58-05:00,wcampbel,comment,1,"WSC, JGP and PC to discuss action plan for development Tuesday."
18,12:18:22-05:00,wcampbel,owner,jay.pedersen,yeshwanth.narayana@unmc.edu
18,12:18:22-05:00,wcampbel,description,,Fix attachment issue in TRAC
18,12:18:22-05:00,wcampbel,comment,1,
18,15:03:09-05:00,jpedersen,comment,2,"Issue was an installation issue.  The TRAC files needed to be owned by www-data, the username used by the apache web server.  The files were owned by root previously.

Once the files were changed to be owned by www-data, and the apache server was restarted, then the 'attach file' method appeared to work."
18,15:03:28-05:00,jpedersen,status,assigned,closed
18,15:03:28-05:00,jpedersen,resolution,,fixed
18,15:03:28-05:00,jpedersen,comment,3,
18,15:04:34-05:00,jpedersen,comment,4,"The following was found by Yeshwanth that indicated the issue at hand:

http://stackoverflow.com/questions/23870808/oserror-errno-13-permission-denied"
17,10:45:12-05:00,campbell,comment,3,We have two presentations scheduled for Epic XGM May 2nd and 3rd
20,11:16:42-05:00,wcampbel,comment,2,"Focus on Harvest, reporting.  Extended work plan this week.

RITO - to have LDAP functional by 3/25"
12,11:19:47-05:00,wcampbel,comment,2,"WSC - meeting with Greiner to get FSN's and copath layout completed.  Today, 3/20"
14,11:21:59-05:00,wcampbel,comment,2,WSC - working with Lisa Bazis to get feed to pathology database
9,11:31:56-05:00,wcampbel,comment,7,"JRC to get modifiers installed today.  Continue to debug with hierarchies vs. ingredients for RxNorm.  Get uploaded to Babel.

JRC to meet with Hubert on 3/21.  With stated relationships, take subset of shared lab codes between NYU and UNMC and build metadata using that subset of codes."
10,11:48:59-05:00,wcampbel,comment,7,"JRC finalizing LOINC-SCTID map for NE Lexicon.  Reviewing descriptions file for definitional edits.

JGP to trial run RF2-m codes.  Check for LN-SCT tech preview map.

Load CAP LN into snowowl ref set.

WSC to call AJCC for any granular issues re observables.

WSC to mark up CAP documents for breast and colorectal with final LOINC codes/value sets.  Will follow CAP guidance received from Ted Carithers.

Target end of week for exposure on UMLS.

Release notes almost completed by JRC.

To do's
Finalize classified version in SO
RF2
Simple map refset
Modified RF2 with LN substitution
Finalize file names and harmonize with release notes
Mark up CAP documents
NLM, RII and CAP 36 hour period of review
Post to website"
19,12:04:34-05:00,wcampbel,comment,2,"JGP has first round of slides.  Present tomorrow at tech meeting.

"
4,12:05:10-05:00,wcampbel,comment,5,Wisecarver update this week
17,12:06:42-05:00,wcampbel,comment,4,JRC to upload abstracts today
21,12:07:13-05:00,wcampbel,comment,1,Yesh to review file size restriction today
11,12:18:42-05:00,wcampbel,comment,3,No need for this SCTID renumber issue.  LOINC codes to replace NE Lexicon SCTID's in RF2 files
21,13:55:18-05:00,yeshwanth.narayana,status,new,closed
21,13:55:18-05:00,yeshwanth.narayana,resolution,,fixed
21,13:55:18-05:00,yeshwanth.narayana,comment,2,"Changed the maximum file limit size in the trac configuration files(bd2k, necares, i2b2) to 5MB. 
Now we can add attachments up to 5MB in all the three projects."
10,13:27:22-05:00,campbell,comment,8,"Release notes updated to include file structures, acknowledgements and description of use.  WSC and JGP to kindly review.  Check out file and edit for obvious changes you want to make.
JRC"
10,13:28:48-05:00,campbell,cc,Campbell,"Campbell, wcampbel@unmc.edu, jay.pedersen@unmc.edu"
10,13:28:48-05:00,campbell,comment,9,Please comment and edit release notes
10,12:26:51-05:00,campbell,comment,10,"Work items for finalization of publication:
1) Expand LOINC map refset to include all tech preview plus all mapped items from pathology
2)JRC to edit FSn/PT for Neb Lexicon descriptions to eliminate errors
3) JGP to substitute LOINC code for all mapped SNCTIDs in concepts, descriptions, relationships AND map refset  - yielding refset with redundant LOINC code entries subsetting terminology release in lOINC
4) JGP to delete simple LOINC map (about 25 terms) from release set
5) JGP and WSC to review and edit release notes draft
) WSC to do final edits on PDFs of Cancer Protocols
6) Finalize publicity plans
7) JRC to Finalize release notes and review final PDFs for publication"
9,12:32:57-05:00,campbell,comment,8,"If RxNorm metadata passes numeric checks, JRC to complete load of prescriptions and dispense events, run fact counts
JGP to publish to BABEL for comment
JGP to fork Harvard release and publish to SCILHS website

YA to draft LOINC frequent use ontology
JRC to solicit any LOINCV code additions to 'frequent use' subset from Harvard

JGP to schedule CONDITIONS build with SNOMED CT for SCILHS DIAGNOSIS metadata"
17,12:34:20-05:00,campbell,comment,5,"Note sent to Vikas Biliyar(Epic) explaining that we have accomplished little with microbiology

Slides due for presentations April 4."
12,11:10:00-05:00,wcampbel,comment,3,Scott has built Bone Marrow per Greiner.  Tim to review before move into Copath.  Terminology building to follow.
15,11:10:54-05:00,wcampbel,comment,1,Waiting on Brian Lancaster/Lisa Bazis to approve feed from RPS
20,11:13:16-05:00,wcampbel,comment,3,"Phil/Yesh/Jay - meet with Chanikya and Ashok to bind LDAP to current Meteor worksheets.

In meeting, they will validate if RITO will only manage system access, or if they will also manage user privileges.

Functional security/login to dev by end of week.  Target to get log in to Production this week, too."
6,11:16:33-05:00,wcampbel,comment,4,"Need to get final set of files to include in upload set.

-Release notes
-CAP notes
-RF2 files

Send files to Dan Moser."
10,11:53:41-05:00,wcampbel,comment,11,"WSC to confirm LOINC mapping with copy given to Jay

2)  JRC to continue FSN edits
3)  JGP has code completed, but needs item from #1 to complete.  Waiting on WSC
4)  JGP, understood
5)  In process
6)  NLM list serve, CAP, RII?, SNOMED International?
6a)  UNMC via UNEMED and updated website"
9,12:16:34-05:00,wcampbel,comment,9,"1)  Get fact counts complete
2)  Yesh to follow up on NE codes with frequency > 100"
10,14:57:49-05:00,wcampbel,comment,12,"WSC uploaded edited LOINC mapping table.  JRC, please review highlighted items."
10,14:32:59-05:00,wcampbel,comment,13,"Jim, I reviewed the Release notes, and they look fine.  I did make a few typo corrections and reviewed the CAP copyright section closely.

I also added Alexis Carter into the acknowledgement section.  I think this is good to go.

I only need to complete the hyperlinks in the updated PDFs."
10,09:36:29-05:00,campbell,comment,14,"I reviewed the LOINC maps that Scott flagged and validated the list of 147 pathology observables
in spreadsheet Pathology_Observables_LOINCMaps_20170401.xlsx which I just uploaded.  Use the 
worksheet LOINCMAO_final for the observables maps to be added to the tech preview and for use 
in creating the LOINC code substitutions into RF2 data sets for our NLM publication.

I revised the Observables FSNs that were ambiguous and have created a new RF2 release set to be used as the source for publication.  I will upload that to the ticket as well"
10,11:17:10-05:00,wcampbel,comment,15,"1. PDF updates -ETA today/tomorrow morning.
2. Jay to add the pathology observables to the tech preview loinc map.  ETA - tomorrow.
3. Release notes are good to go.
4. Plan on notification of NLM/RII Wednesday
5. Wednesday, we test the download.
6. Target NLM List Serve notification for Monday?"
9,11:21:19-05:00,wcampbel,comment,10,"Yesh to take some of JGP's python code to extract observables from SNOMED CT.  Retain ontology for tech preview for i2b2 representation.  ~2000 LOINC codes.

Complete as time available - 2 weeks?

Common panel codes to be added in  later, but this will serve as SCILHS metadata and potential for RII release"
24,11:24:33-05:00,wcampbel,comment,1,Phil to create a rule to email us of a message error.  Message to be stored/saved in Mirth for reprocess after correction of DB's.  
12,11:25:59-05:00,wcampbel,comment,4,WSC to review with Griener on Thursday/Friday
14,11:26:52-05:00,wcampbel,comment,3,WSC discussed with Brian Lancaster.  Brian to issue approval to take a copy of RPS feed for this purpose.
16,11:28:08-05:00,wcampbel,status,assigned,closed
16,11:28:08-05:00,wcampbel,resolution,,duplicate
16,11:28:08-05:00,wcampbel,comment,3,See ticket #9
20,11:30:09-05:00,wcampbel,comment,4,"LDAP developed by RITO (being confirmed and validated by Phil).  RITO now done with this effort.  All other work done by our team.

Current meteor with react deployed on test box (10.8.22.94:8082)  Phil to present later today."
22,11:30:45-05:00,wcampbel,comment,1,"Jay developed work plan, and will attempt to implement on test later this week."
11,11:32:53-05:00,wcampbel,status,new,closed
11,11:32:53-05:00,wcampbel,resolution,,wontfix
11,11:32:53-05:00,wcampbel,comment,4,"No longer a ""formal"" requirement.  May be needed for single entities, but only if requested"
17,11:39:34-05:00,wcampbel,comment,6,"JRC started slides.  Tickets updated.

WSC to complete XGM registration."
15,11:19:24-05:00,wcampbel,comment,2,Lancaster/Weis approved redirect of 2.3.1 encoded lab results for RPS to be redirected with new feed to BD2k landing zone.  SC and PC to discuss info model for results.
3,11:21:02-05:00,wcampbel,comment,4,No updates
22,11:32:47-05:00,wcampbel,comment,2,"Will discuss with PC, JGP and SC tomorrow (4/11/17)"
6,11:44:58-05:00,wcampbel,comment,5,"WSC to validate .zip file download.

Inlcude release notes for reading.  SITE SUCKS PER JRC.  DON'T PUNISH THE CUSTOMER...MAKE A NEW GLORIOUS LANDING PAGE."
10,11:50:50-05:00,wcampbel,comment,16,"All commentators silent, but JRC to shake the tree.  If no response by Wednesday, then we publish.

Evaluation form - discuss with observables.

JRC - shake the trees
JRC - Draft survey
WSC - solicit observables input
WSC - fix the mischugana website."
17,11:52:41-05:00,wcampbel,comment,7,JRC - to get slides sets circulated and submitted by end of week.
9,12:14:51-05:00,wcampbel,comment,11,"RxNorm - two hierarchies (VA drug classes and ingredients)  Added indication that when differing counts that the VA version is specific to the VA subset.  Upload to BABEL this week.

Documentation needs to be put together this week.


Lab Loinc/Path - Yesh to create statistical list of inferred paths from LOINC leaf nodes to root.  Then we vet the list for non-parsimonious groupers."
9,09:28:35-05:00,campbell,comment,12,"Reviewed LOINC ontology build on Friday on i2b2 - good start but AP and MP observables from CAP cancer observables build not included
Supertype assignments reviewed and edited Saturday to properly classify several lab tests and AP/MP results.
New snapshot to be developed Monday from SNOWOWL with my edited changes and Yesh to create new LOINC i2b2 pathway build to include all Nebraska terminology build
Load revisions in i2b2 for review and discussion of lab ontology"
9,12:33:19-05:00,wcampbel,comment,13,Rerun RF2 from SNOWOWL and reinstall into i2b2.  Needs to include pathology data.  Yesh to do today
17,12:42:29-05:00,wcampbel,comment,8,"JRC, JGP, WSC - need brief bio (3 sentences-ish) by end of week to session chair."
9,07:20:16-05:00,campbell,comment,14,"In response to Jay's question, I attach a frequency analysis of lab orders in One Chart and highlight in green 6 panel codes we want to add to our metadata"
10,11:11:06-05:00,campbell,status,new,assigned
10,11:11:06-05:00,campbell,owner,wcampbel,jay.pedersen@unmc.edu
10,11:11:06-05:00,campbell,comment,17,"Error noted in JRC mapping files with replacement of 85298-X by 85303-X and incorrect definition in LOINC definition.   
Remediation:
1) RI contacted and agreed to change in definition and long name of 85298-X
2) WSC to revise colorectal annotated checksheet and insert revised long name for LOINC term
3) JP to revise mapping file with SNCT-LOINC codes, delete incorrect assertions in RF2 and replace 85303-X with 85298-X
4) JP toassure that all release copies in BOX are correct and remove or edit old datasets"
10,21:14:29-05:00,jpedersen,comment,18,"JGP -- generated new LOINC-ified RF2 using updated mapping from JRC (85298-X by 85303-X), using the March 31, 2017 RF2 extracted from SNOWOWL as input.

The updated RF2 terminology files and map file were updated in BOX.

This included the following 5 files:

  der2_sRefset_LOINCMapSnapshot_INT_20170331.txt
  sct2_Concept_Snapshot_INT_20170331.txt
  sct2_Description_Snapshot-en-us_INT_20170331.txt
  sct2_Relationship_Snapshot_INT_20170331.txt
  sct2_StatedRelationship_Snapshot_INT_20170331.txt
 
They were uploaded to the following BOX locations:

  Cancer Synoptic Coding\6) Publication artifacts: COPATH and annotated checksheets\Publication_Files_20170331\Terminology and Refset\Map.

Compared the ""before"" and ""after"" files and the only differences appeared to relate directly to the mapping change, as expected.
"
10,11:23:07-05:00,wcampbel,comment,19,"Rerun NE Lexicon snapshot today.  Jay to LOINC-ify and SC to publish tomorrow am.

WSC and JRC to discuss and draft letter to SNOMED International about publication of terms."
25,11:24:52-05:00,wcampbel,comment,1,Jay to teach Yeshwanth on this process.  Yesh to develop.  Include test machine
17,11:27:07-05:00,campbell,status,assigned,closed
17,11:27:07-05:00,campbell,resolution,,fixed
17,11:27:07-05:00,campbell,comment,9,
24,11:27:45-05:00,wcampbel,comment,2,"Scott, Phil and Jay to discuss later today on specifics."
4,11:32:17-05:00,campbell,comment,6,April 2017 Agreed with ICCR lung cancer would be demo project for publication and harmonization process
15,11:39:46-05:00,wcampbel,comment,3,"RPS data forwarded to TEST.  DB design needed for micro results.

Scott and Phil to discuss ER model this week."
14,11:40:30-05:00,wcampbel,comment,4,Complete.  To test box. 10.8.22.94
14,11:40:49-05:00,wcampbel,status,new,closed
14,11:40:49-05:00,wcampbel,resolution,,fixed
14,11:40:49-05:00,wcampbel,comment,5,
23,11:41:20-05:00,wcampbel,status,new,closed
23,11:41:20-05:00,wcampbel,resolution,,fixed
23,11:41:20-05:00,wcampbel,comment,1,Complete
9,11:43:44-05:00,wcampbel,owner,jay.pederen@unmc.edu,jay.pedersen@unmc.edu
9,11:43:44-05:00,wcampbel,comment,15,Add load procedure for technology preview (beta tech preview).  Jayto work with JRC.
15,11:45:16-05:00,wcampbel,status,new,closed
15,11:45:16-05:00,wcampbel,resolution,,fixed
15,11:45:16-05:00,wcampbel,comment,4,
13,11:46:05-05:00,wcampbel,comment,2,Scott and Phil to discuss initial ER diagram.  Review with JRC.
20,11:56:49-05:00,wcampbel,comment,5,"Phil, Jay and Scott to discuss building observable ontology derived queries.  Review with JRC.  Prototype and show to select users for feedback."
22,11:58:07-05:00,wcampbel,comment,3,"WSC to run NE Lexicon (only) snapshot for Jay to LOINC-ify.

WSC to run FULL version for load into graphDB.  Jay to load into new graph on test."
22,12:04:11-05:00,wcampbel,comment,4,"Also, need to add LOINC id's as LOINCID to all nodes where there is equivalence.  Use our LOINC map"
3,12:09:52-05:00,wcampbel,comment,5,Hold until Lung complete
3,12:11:02-05:00,wcampbel,comment,6,Review content and revise concepts as necessary per Observables input.
5,12:13:48-05:00,wcampbel,summary,Load Gene Ontology into Neo4j,Load Gene Ontology into Protege
5,12:13:48-05:00,wcampbel,comment,4,Move to protege vs. Neo4j for this work.  JRC has loaded into Protege
19,12:15:28-05:00,wcampbel,comment,3,"1)  MP paper ongoing.  Revisions to authors by end of week.

2)  WSC to prep Path Info Summit slides (AP and MP)

"
4,17:55:20-05:00,wcampbel,comment,7,Updated content in Box (folder 4) for JRC's review.  UNMC_Copath tab contains the up to date Copath representation and pathologist review.
22,18:00:54-05:00,wcampbel,cc,campbell@unmc.edu,"campbell@unmc.edu, phil.colbert@unmc.edu, jay.pedersen@unmc.edu"
22,18:00:54-05:00,wcampbel,comment,5,"Step wise plan:
Jay will create a new graph database with the current SNOMED CT codes and relationships.  (Deleted codes will not be present in his source files).

Assuming that we have all HL7 synoptic report messages stored in Mirth, we will be able to repopulate the new graphDB via reprocessing the messages.  (Can Philconfirm that we have all the HL7 messages stored back to the first one?  I think we had Milissa retransmit when you started working on this grant.)

We will need to have Phil write a message transform script that will transform the HL7 messages to replace SNOMED CT codes no longer present with their replaced codes.  The list is small (<100 codes)

Once the transform script is validated, we can reprocess the stored hl7 messages and import into the graphDB using the transform and rest API.

We can leave the transform process in place for current Copath messages, too.  This will allow us some flexibility in Copath coding change timing.  Once the Copath coding (SNOMED CT) changes are moved to production Copath, the transform process will no longer be needed and can be removed.  However, it will not hurt to have it in place.

We will then extract paraffin specimen data elements from the current graphDB and import into the new graphDB.  These items are not affected by any changes in the SNOMED CT numbering."
9,11:13:11-05:00,wcampbel,comment,16,No progress on RF2 beta tech preview due to graphDB updates. To be completed this week.
9,11:14:13-05:00,wcampbel,comment,17,RXNorm metadata uploaded for Jeff Klann review
24,11:17:13-05:00,wcampbel,comment,3,On hold until graph updated and use case vetted.
25,11:19:24-05:00,wcampbel,comment,2,Yesh to complete
12,11:19:58-05:00,wcampbel,comment,5,FSN work to resume.
13,11:25:15-05:00,wcampbel,comment,3,"Agreed that tables by segment are sufficient.  Views are acceptable, but need to be vetted by Jim for his use cases before an implementation.

SC and PC to discussed Tuesday"
20,11:31:05-05:00,wcampbel,status,new,assigned
20,11:31:05-05:00,wcampbel,owner,wcampbel,rachael.neff@unmc.edu
20,11:31:05-05:00,wcampbel,comment,6,RN now to work on user specifications and integration with DB to drive queries and other functions from NE CARES.
22,11:31:50-05:00,wcampbel,comment,6,"Complete, but reconciling synoptic report data.  Anticipate complete resolution by end of day."
5,11:33:26-05:00,campbell,owner,jay.pedersen,campbell
5,11:33:26-05:00,campbell,comment,5,
6,11:34:34-05:00,wcampbel,comment,6,JRC/J McClay and WSC to discuss formal informatics landing page/area for this work.
10,11:37:42-05:00,wcampbel,comment,20,WSC to notify NLM today and provide URL.
25,11:52:59-05:00,jpedersen,comment,3,"My analysis of what needs to happen:

#1. TRAC backup

For our TRAC instances, which exist on NECARES DEV, we need to backup the folder structure:

    /sno/trac

I suggest we create a backup folder to store this:

  /sno/backup

We would create a cron job, to run at 2:05 am (or some such), which performs this backup.

I have existing bash and python scripts which can be modified to make this work.
I will work with Yesh on that so that he understands how those scripts work.

#2. GITLAB backup

Here is some information on performing a backup of the GITLAB repositories.

https://docs.gitlab.com/ce/raketasks/backup_restore.html#create-a-backup-of-the-gitlab-system

Backing up and restoring GitLab - GitLab Documentation
docs.gitlab.com
GitLab Community Edition; Rake tasks; Backing up and restoring GitLab; Backing up and restoring GitLab. Backup. Backup timestamp; Creating a backup of the GitLab system

#3. Copying the backup to RITO with DoBackup

We need to use the DoBackup software provided by RITO,
and we need to work with Mike Gleason or Mike Zietz
to make sure RITO is ready for us to send them backups
from NECARES DEV."
26,14:53:33-05:00,campbell,comment,1,"All LOINC maps from SNOWOWL created by Jay at the time of tech preview import have been extracted to file LOINC_tech_preview
Jim"
9,09:56:44-05:00,campbell,comment,18,Med admin ETL load and QA revealed ~175 NDC codes not in SCILHS
24,09:57:48-05:00,campbell,milestone,,NE CARES/Biobank Interactions
24,09:57:48-05:00,campbell,comment,4,
25,09:58:19-05:00,campbell,milestone,,NE CARES/Biobank Interactions
25,09:58:19-05:00,campbell,comment,4,
12,09:58:45-05:00,campbell,milestone,,Terminology Development
12,09:58:45-05:00,campbell,comment,6,
26,09:59:29-05:00,campbell,milestone,,Terminology Development
26,09:59:29-05:00,campbell,comment,2,
27,09:59:58-05:00,campbell,milestone,,NE CARES/Biobank Interactions
27,09:59:58-05:00,campbell,comment,1,
24,11:27:12-05:00,campbell,comment,5,JRC to post examples of metadataxml from Oracle to ticket for exemplar
22,11:34:07-05:00,campbell,status,assigned,closed
22,11:34:07-05:00,campbell,resolution,,fixed
22,11:34:07-05:00,campbell,comment,7,
27,11:38:46-05:00,campbell,priority,minor,critical
27,11:38:46-05:00,campbell,comment,2,Scott to vaerify with Ashok and prioritize work plan for move to HTTPS
10,12:00:24-05:00,campbell,priority,major,minor
10,12:00:24-05:00,campbell,comment,21,Next publication 6 months
